country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
Myanmar,South-eastern Asia,N/A,Asia,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,0.651
Chad,Middle Africa,Sub-Saharan Africa,Africa,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,2.592
Ukraine,Eastern Europe,N/A,Europe,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,1.008
Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,1.732
Swaziland,Southern Africa,Sub-Saharan Africa,Africa,135,4.212,0.811,1.149,0,0.313,0.135,0.074,1.73
Uganda,Eastern Africa,Sub-Saharan Africa,Africa,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,1.677
Egypt,Northern Africa,N/A,Africa,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,1.186
Zambia,Eastern Africa,Sub-Saharan Africa,Africa,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,1.28
Togo,Western Africa,Sub-Saharan Africa,Africa,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,2.273
India,Southern Asia,N/A,Asia,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,1.124
Liberia,Western Africa,Sub-Saharan Africa,Africa,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,1.901
Comoros,Eastern Africa,Sub-Saharan Africa,Africa,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,1.942
Madagascar,Eastern Africa,Sub-Saharan Africa,Africa,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,1.83
Lesotho,Southern Africa,Sub-Saharan Africa,Africa,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,1.417
Burundi,Eastern Africa,Sub-Saharan Africa,Africa,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2.326
Zimbabwe,Eastern Africa,Sub-Saharan Africa,Africa,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,1.149
Haiti,Caribbean,Latin America and the Caribbean,North America,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,1.582
Botswana,Southern Africa,Sub-Saharan Africa,Africa,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,0.184
Syria,Western Asia,N/A,Asia,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331,1.54
Malawi,Eastern Africa,Sub-Saharan Africa,Africa,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,1.414
Yemen,Western Asia,N/A,Asia,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108,1.139
Rwanda,Eastern Africa,Sub-Saharan Africa,Africa,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,0.467
Tanzania,Eastern Africa,Sub-Saharan Africa,Africa,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,0.531
Afghanistan,Southern Asia,N/A,Asia,154,3.203,0.35,0.517,0.361,0,0.025,0.158,1.792
Central African Republic,Middle Africa,Sub-Saharan Africa,Africa,155,3.083,0.026,0,0.105,0.225,0.035,0.235,2.457
South Sudan,Eastern Africa,Sub-Saharan Africa,Africa,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202,1.374
